subject_code,section_code,mode,test_slug,question_id,prompt,choiceA,choiceB,choiceC,choiceD,choiceE,correct,explanation,difficulty,tags,image_url
APMACRO,EIBC,SECTION,,Q061,One drawback of using fiscal policy to close a recessionary gap is that,unemployment will rise.,taxes will have to be raised.,the equilibrium price level will rise.,government spending on important programs will have to be cut.,equilibrium output will fall.,C,(C),,,
APMACRO,LRCSP,SECTION,,Q062,Use the following three responses to answer the question: Fiscal policy is not always effective because of,I only,II only,II and III,I and II,"I, II, and III",D,(D),,,
APMACRO,EIBC,SECTION,,Q063,Stagflation occurs when,inflation falls and unemployment rises.,inflation rises and unemployment falls.,inflation and unemployment both rise.,Inflation and output both rise.,Inflation and output both fall.,C,(C),,,
APMACRO,EIBC,SECTION,,Q064,Study the diagram below.,It is incorrect since Qf can never be to the left of QI.,It is incorrect because AD should slope upward and AS should slope down.,It portrays a recessionary gap.,It portrays an inflationary gap.,It portrays Phillips curves.,D,(D),,,
APMACRO,EIBC,SECTION,,Q065,Crowding out,is one reason fiscal policy is so effective.,occurs when interest rates fall due to government borrowing.,occurs when consumers and firms spend less offsetting expansionary fiscal policy.,causes the aggregate demand curve to shift to the right.,occurs when rising interest rates cause cuts in government spending.,C,(C),,,
APMACRO,EIBC,SECTION,,Q066,The theory of rational expectations,assumes that consumers and businesses anticipate rising prices when the government pursues an expansionary fiscal policy.,implies that fiscal policy will be effective even during stagflation.,supports the notion of a Phillips tradeoff.,assumes that consumers and businesses do not use all the information available to them.,was developed by Keynes as a remedy for the Great Depression.,A,(A),,,
APMACRO,EIBC,SECTION,,Q067,Study the diagram below.,It shows how fiscal policy can work to cure inflation.,It shows how fiscal policy can work to close a recessionary gap.,It portrays the Phillips tradeoff.,It is incorrect because AD should slope upward and AS should slope down.,It portrays stagflation.,E,(E),,,
APMACRO,EIBC,SECTION,,Q068,A recessionary gap exists when the short-run equilibrium level of real GDP,decreases over time,equals the full-employment level of real GDP,is above the full-employment level of real GDP,is below the full-employment level of real GDP,increases over time,D,D   A recessionary gap is when the equilibrium GDP is below full employment level. Therefore the answer is (D).,,,
APMACRO,EIBC,SECTION,,Q069,"Automatic, or built-in, stabilizers",prevent inflation.,prevent recessions from occurring.,prevent inflation and recessions from occurring.,are government policies already in place that promote deficit spending during expansions and surplus budgets during recessions.,are government policies already in place that promote deficit spending during recessions and surplus budgets during expansions.,E,(E),,,
APMACRO,EIBC,SECTION,,Q070,The Phillips curve,shows how government spending and tax collections are related.,is upward sloping from left to right.,indicates that inflation will be high when unemployment is low.,shows how the equilibrium price level is related to fiscal policy.,shows how output and prices are related.,C,(C),,,
APMACRO,BEC,SECTION,,Q071,Which of the following is not included in MI?,Coins.,Paper money.,Travelers' checks.,Credit cards.,Transaction accounts.,D,(D),,,
APMACRO,BEC,SECTION,,Q072,Which of the following is not included in M2?,Currency.,Travelers' checks.,Certificates of deposit.,Savings accounts.,Credit cards.,E,(E),,,
APMACRO,BEC,SECTION,,Q073,Which of the following statements is true?,Some of the things included in M2 are not as liquid as the things in MI.,M2 is smaller than MI.,M I is backed by gold and M2 is backed by silver.,The biggest component of M I is currency.,The biggest component of M2 is currency.,A,(A),,,
APMACRO,BEC,SECTION,,Q074,Fiat money,is not backed by any precious commodity.,can be exchanged for gold.,"is backed by gold, but cannot be exchanged for it.",is not legal tender.,can be backed by gold or silver.,A,(A),,,
APMACRO,FS,SECTION,,Q075,The Federal Reserve is,part of the legislative branch of government.,"the monetary authority for banks, but not other depository institutions.",part of the judicial branch of government.,in control of the money supply.,in control of government spending.,D,(D),,,
APMACRO,NIPD,SECTION,,Q076,Required reserves,can be used by banks to make loans or buy investments.,can be held in a bank's vault or its account at the FED.,must be kept in a bank's vault.,must be used to make loans.,ensure that banks will have enough cash on hand to meet their withdrawals.,B,(B),,,
APMACRO,BEC,SECTION,,Q077,The secondary market for government securities is,where used items are traded.,located in smaller cities.,where the government borrows money.,where government securities that have already been issued may be bought or sold.,where government securities are issued.,D,(D),,,
APMACRO,NIPD,SECTION,,Q078,"If the reserve requirement is 2 percent, then the money multiplier is",5,5 percent,50,50 percent,one half,C,(C),,,
APMACRO,FS,SECTION,,Q080,If the FED buys bonds in the secondary market,the money supply will increase.,the money supply will decrease.,the money supply will not be affected.,the discount rate would be affected.,reserve requirements would have to be increased in tandem.,A,(A),,,
APMACRO,EIBC,SECTION,,Q081,Which of the following would lead to an expansion of the money supply?,The FED raises the discount rate.,The FED buys government securities in the secondary market.,The federal government deficit-spends.,The FED raises reserve requirements.,Taxes are reduced.,B,(B),,,
APMACRO,FS,SECTION,,Q082,"Assume the reserve requirement is 10 percent. If the FED sells $29 million worth of government securities in an open market operation, then the money supply can",increase by $2.9 million.,decrease by $2.9 million.,increase by $290 million.,decrease by $290 million.,increase by $26.1 million.,D,(D),,,
APMACRO,FS,SECTION,,Q083,"Assume the reserve requirement is 5 percent. If the FED buys $4 million worth of government securities in an open market operation, then the money supply can",increase by $1.25 million.,decrease by $1.25 million.,increase by $20 million.,decrease by $20 million.,increase by $80 million.,E,(E),,,
APMACRO,EIBC,SECTION,,Q084,When the FED lowers the discount rate its intention is to,give depository institutions a break on their borrowings.,signal participants in financial markets that a recession is coming.,signal participants in financial markets that an inflationary period is coming.,lower prices in the economy.,encourage borrowing by depository institutions so that the money supply may expand.,E,(E),,,
APMACRO,NIPD,SECTION,,Q085,Lowering reserve requirements would,force banks to hold more reserves and make more loans.,allow banks to make more loans and buy more investments thus decreasing the money supply.,allow banks to make more loans and buy more investments thus increasing the money supply.,allow banks more freedom to merge and acquire other businesses.,force banks to sell investments so that fewer funds are held in reserve.,C,(C),,,
APMACRO,BEC,SECTION,,Q086,"The FED's Board of Governors has members, each serving -year terms.","14, 7","7, 14","8, 8","50, 2","8, 10",B,(B),,,
APMACRO,FS,SECTION,,Q087,The Federal Open Market Committee,advises the President of the United States.,is part of the Federal Reserve System.,has seven members.,promotes free trade.,is part of the legislative branch of government.,B,(B),,,
APMACRO,NIPD,SECTION,,Q088,"According to Classical economic theory, a decrease in the money supply would",raise the price level and output in the economy.,lower the price level and output in the economy.,raise the price level in the economy.,lower the price level in the economy.,raise the price level and lower output in the economy.,D,(D),,,
APMACRO,NIPD,SECTION,,Q089,"According to monetarist analysis, a decrease in the money supply would",raise the price level and output in the economy.,lower the price level and output in the economy.,raise the price level in the economy.,lower the price level in the economy.,raise the price level and lower output in the economy.,B,(B),,,
APMACRO,NIPD,SECTION,,Q090,Which of the following is equal to one?,The elasticity of the long-run aggregate supply curve,The spending (or expenditure) multiplier,The money (or banking) multiplier,The tax multiplier,The balanced budget multiplier,E,"E   The best approach to this question is to use Process of Elimination. The spending multiplier, money multiplier, and tax multiplier are all greater than 1, so eliminate (B), (C) and (D). Long-run aggregate supply is perfectly inelastic and thus not equal to 1, so eliminate (A). Therefore the answer is (E).",,,
APMACRO,NIPD,SECTION,,Q091,"According to Keynesian analysis, a decrease in the money supply would",raise the price level and output in the economy.,lower the price level and output in the economy.,raise the price level in the economy.,lower the price level in the economy.,raise the price level and lower output in the economy.,B,(B),,,
APMACRO,NIPD,SECTION,,Q092,In the equation of exchange,M stands for the money supply and Q stands for quality.,V stands for the velocity of GDP and Q stands for quality.,P stands for the price level and Q stands for quarter.,P stands for the price level and V stands for the velocity of money.,P stands for population and V stands for the velocity of money.,D,(D),,,
APMACRO,NIPD,SECTION,,Q093,The velocity of money,cannot be calculated for an actual economy.,is how fast money can be transferred.,is required to calculate the money multiplier.,is the number of times a typical dollar changes hands.,is the number of times a typical dollar is used to make a purchase in a year.,E,(E),,,
APMACRO,NIPD,SECTION,,Q094,"In the equation of exchange, if V and Q are constant, then",changes in the price level must be proportional to changes in the money supply.,changes in the money supply have no effect on the price level.,changes in the price level have no effect on the money supply.,the equation is invalid.,the money supply must be zero.,A,(A),,,
APMACRO,BEC,SECTION,,Q095,"In the United States over the years, V and Q",have not changed significantly.,are perfectly constant.,have decreased significantly.,have increased significantly.,changed once since World War II.,D,(D),,,
APMACRO,FS,SECTION,,Q096,"According to Monetarist theory, when the money supply is changed, the economy is affected",only because a change in the money supply affects interest rates.,in several ways.,because interest rates change and so do many other factors that affect spending.,"because many factors that affect spending change, but not interest rates.",but only insignificantly.,C,(C),,,
APMACRO,FS,SECTION,,Q097,"According to Keynesian theory, a decrease in the money supply would","lower interest rates, which would encourage borrowing and, therefore increase spending.","raise interest rates, which would discourage borrowing and, therefore, increase spending.","raise interest rates, which would discourage borrowing and, therefore, reduce spending.","lower interest rates, which would discourage borrowing and, therefore, reduce spending.","raise interest rates, which would encourage borrowing and, therefore, reduce spending.",C,(C),,,
APMACRO,EIBC,SECTION,,Q098,Which of the following could cause the aggregate demand curve to shift to the left?,An increase in the money supply.,Contractionary demand management policies.,Expansionary demand management policies.,An increase in government spending.,There is more than one correct answer here.,B,(B),,,
APMACRO,NIPD,SECTION,,Q099,"According to Monetarist theory,",the FED should actively conduct monetary policy.,changes in the money supply do not have significant effects.,fiscal policy is the preferred way of shifting the aggregate demand curve.,the FED should allow the money supply to grow at a constant rate.,the FED should randomly change the money supply.,D,(D),,,
APMACRO,NIPD,SECTION,,Q100,"According to Keynesian theory,",the FED should not conduct monetary policy.,changes in the money supply have significant effects.,fiscal policy is the preferred way of shifting the aggregate demand curve.,the FED should allow the money supply to grow at a constant rate.,the FED should randomly change the money supply.,C,(C),,,
APMACRO,EIBC,SECTION,,Q101,There is relatively more crowding out as the result of expansionary fiscal policy when,expansionary monetary policy accompanies the fiscal policy,the investment demand curve is inelastic,government spending improves profit expectations among businesses,aggregate supply is vertical,the investment demand curve is elastic,E,"E   Crowding out is a decrease in real investment as a result of government purchases. Government purchases are part of the fiscal policy, so eliminate (A). Impact of government purchases is felt on the demand side, so eliminate (D). When the investment demand curve is elastic, a small increase in government purchases will have a larger reduction in demand for money. Therefore the answer is (E).",,,
APMACRO,BEC,SECTION,,Q102,Milton Friedman,never won a Nobel Prize despite his contributions to economic analysis.,is a Monetarist.,is a Keynesian.,won a Nobel Prize for his contributions to Classical economic analysis.,never won a Nobel Prize despite his contributions to Monetarist analysis.,B,(B),,,
APMACRO,BEC,SECTION,,Q103,Monetarists believe that V and Q are,constant.,stable.,variable.,not critical for understanding how money affects the economy.,unstable.,B,(B),,,
APMACRO,EIBC,SECTION,,Q104,Economic growth is,measured by the number of businesses in the economy.,shared equally among the population.,critical in determining the standard of living in a nation.,measured by the amount of government spending.,measured by the unemployment rate.,C,(C),,,
APMACRO,EIBC,SECTION,,Q105,The standard of living is measured by,GDP.,GDP per capita.,Real GDP per capita.,Actual GI)P per capita.,the unemployment rate.,C,(C),,,
APMACRO,EIBC,SECTION,,Q106,Which of the following will result in economic growth?,A decrease in the unemployment rate.,An increase in the unemployment rate.,An increase in the size of the labor force.,A decrease in the population.,A change in political leadership.,C,(C),,,
APMACRO,LRCSP,SECTION,,Q107,Which of the following will promote economic growth?,Government regulation.,A new production technique that lowers costs.,Increased taxes.,More strict pollution standards for corporations.,Reduced taxes.,B,(B),,,
APMACRO,FS,SECTION,,Q108,Which of the following will promote economic growth?,An increase in the amount of capital.,Lower wages.,Price controls that keep prices low.,Increased government spending.,A decrease in the money supply.,A,(A),,,
APMACRO,EIBC,SECTION,,Q109,"If real GDP per capita was $10,000 in 1990 and $15,000 in 2000, then the amount of economic growth is",0.5 percent.,5.0 percent.,50 percent.,3.3 percent.,More information is required to determine the amount of economic growth.,C,(C),,,
APMACRO,EIBC,SECTION,,Q110,"If real GDP per capita was $20,000 in 1980 and $21,000 in 1990, then we conclude that the standard of living has increased",0.5 percent.,5.0 percent.,50 percent.,3.3 percent.,More information is required to determine the amount of economic growth.,B,(B),,,
APMACRO,EIBC,SECTION,,Q111,The standard of living will increase if,everyone works harder.,the population grows.,GDP increases.,real GDP increases.,real GDP increases at a greater rate than the population.,E,(E),,,
APMACRO,BEC,SECTION,,Q112,Which of the following would be included in U.S. GDP calculations?,An auto mechanic fixing his dentistâs car for a filling,A stay-at-home dad providing childcare for his children,A worker donating $200 to the Red Cross,High school students spending their Saturdays building homes for the homeless,A college student paying another student $50 in cash for a used laptop,C,"C   For a transaction to be captured in GDP calculations, it needs to be recorded and reported to the government. The answer is (C) because all other transactions are not reported to the government. On a side note, other countries (United Kingdom and Germany) are looking at ways to include parallel market transactions as part of their GDP.",,,
